History,Members,Depth,Payoff Vector P1,Payoff Vector P2,Player,Sons,Parents
/C:J?,"['/C:JQ', '/C:JK']",1,"[-1.0, -2.0, -1.0, -2.0, 1.0, -1.0, -2.0, -1.0, -2.0, 1.0]","[1.0, 2.0, 1.0, 2.0, -1.0, 1.0, 2.0, 1.0, 2.0, -1.0]",1,[1],[]
/C:J?/P1:c/P2:r,"['/C:JQ/P1:c/P2:r', '/C:JK/P1:c/P2:r']",3,"[-2.0, -1.0, -2.0, -1.0]","[2.0, 1.0, 2.0, 1.0]",1,[],[0]
/C:?J/P1:c,"['/C:QJ/P1:c', '/C:KJ/P1:c']",2,"[1.0, 2.0, -1.0, 1.0, 2.0, -1.0]","[-1.0, -2.0, 1.0, -1.0, -2.0, 1.0]",2,[],[]
/C:?J/P1:r,"['/C:QJ/P1:r', '/C:KJ/P1:r']",2,"[2.0, 1.0, 2.0, 1.0]","[-2.0, -1.0, -2.0, -1.0]",2,[],[]
/C:Q?,"['/C:QJ', '/C:QK']",1,"[1.0, 2.0, -1.0, 2.0, 1.0, -1.0, -2.0, -1.0, -2.0, 1.0]","[-1.0, -2.0, 1.0, -2.0, -1.0, 1.0, 2.0, 1.0, 2.0, -1.0]",1,[5],[]
/C:Q?/P1:c/P2:r,"['/C:QJ/P1:c/P2:r', '/C:QK/P1:c/P2:r']",3,"[2.0, -1.0, -2.0, -1.0]","[-2.0, 1.0, 2.0, 1.0]",1,[],[4]
/C:?Q/P1:c,"['/C:JQ/P1:c', '/C:KQ/P1:c']",2,"[-1.0, -2.0, -1.0, 1.0, 2.0, -1.0]","[1.0, 2.0, 1.0, -1.0, -2.0, 1.0]",2,[],[]
/C:?Q/P1:r,"['/C:JQ/P1:r', '/C:KQ/P1:r']",2,"[-2.0, 1.0, 2.0, 1.0]","[2.0, -1.0, -2.0, -1.0]",2,[],[]
/C:K?,"['/C:KJ', '/C:KQ']",1,"[1.0, 2.0, -1.0, 2.0, 1.0, 1.0, 2.0, -1.0, 2.0, 1.0]","[-1.0, -2.0, 1.0, -2.0, -1.0, -1.0, -2.0, 1.0, -2.0, -1.0]",1,[9],[]
/C:K?/P1:c/P2:r,"['/C:KJ/P1:c/P2:r', '/C:KQ/P1:c/P2:r']",3,"[2.0, -1.0, 2.0, -1.0]","[-2.0, 1.0, -2.0, 1.0]",1,[],[8]
/C:?K/P1:c,"['/C:JK/P1:c', '/C:QK/P1:c']",2,"[-1.0, -2.0, -1.0, -1.0, -2.0, -1.0]","[1.0, 2.0, 1.0, 1.0, 2.0, 1.0]",2,[],[]
/C:?K/P1:r,"['/C:JK/P1:r', '/C:QK/P1:r']",2,"[-2.0, 1.0, -2.0, 1.0]","[2.0, -1.0, 2.0, -1.0]",2,[],[]
